period,respondent,respondent-name,fueltype,type-name,value,value-units
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13345,megawatthours
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,463,megawatthours
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1104,megawatthours
2019-12-31T13,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,14564,megawatthours
2019-12-31T12,ISNE,ISO New England,COL,Coal,4,megawatthours
2019-12-31T12,ISNE,ISO New England,NG,Natural Gas,3603,megawatthours
2019-12-31T12,ISNE,ISO New England,NUC,Nuclear,3340,megawatthours
2019-12-31T12,ISNE,ISO New England,OIL,Petroleum,290,megawatthours
2019-12-31T12,ISNE,ISO New England,OTH,Other,691,megawatthours
2019-12-31T12,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T12,ISNE,ISO New England,WAT,Hydro,840,megawatthours
2019-12-31T12,ISNE,ISO New England,WND,Wind,583,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,16868,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,18295,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13350,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,451,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,989,megawatthours
2019-12-31T12,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15125,megawatthours
2019-12-31T11,ISNE,ISO New England,COL,Coal,2,megawatthours
2019-12-31T11,ISNE,ISO New England,NG,Natural Gas,3036,megawatthours
2019-12-31T11,ISNE,ISO New England,NUC,Nuclear,3361,megawatthours
2019-12-31T11,ISNE,ISO New England,OIL,Petroleum,292,megawatthours
2019-12-31T11,ISNE,ISO New England,OTH,Other,694,megawatthours
2019-12-31T11,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T11,ISNE,ISO New England,WAT,Hydro,739,megawatthours
2019-12-31T11,ISNE,ISO New England,WND,Wind,610,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",COL,Coal,15130,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",NG,Natural Gas,17074,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",NUC,Nuclear,13349,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",OTH,Other,457,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",SUN,Solar,0,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",WAT,Hydro,1007,megawatthours
2019-12-31T11,MISO,"Midcontinent Independent System Operator, Inc.",WND,Wind,15355,megawatthours
2019-12-31T10,ISNE,ISO New England,COL,Coal,6,megawatthours
2019-12-31T10,ISNE,ISO New England,NG,Natural Gas,2713,megawatthours
2019-12-31T10,ISNE,ISO New England,NUC,Nuclear,3320,megawatthours
2019-12-31T10,ISNE,ISO New England,OIL,Petroleum,287,megawatthours
2019-12-31T10,ISNE,ISO New England,OTH,Other,683,megawatthours
2019-12-31T10,ISNE,ISO New England,SUN,Solar,0,megawatthours
2019-12-31T10,ISNE,ISO New England,WAT,Hydro,724,megawatthours
