period,subba,subba-name,parent,parent-name,timezone,value,value-units
2019-12-15,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,60815,megawatthours
2019-12-15,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,60597,megawatthours
2019-12-15,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,60394,megawatthours
2019-12-15,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,60815,megawatthours
2019-12-15,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,61052,megawatthours
2019-12-15,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,252470,megawatthours
2019-12-15,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,252474,megawatthours
2019-12-15,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,252577,megawatthours
2019-12-15,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,252470,megawatthours
2019-12-15,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Pacific,252493,megawatthours
2019-12-14,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Arizona,60780,megawatthours
2019-12-14,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Central,60930,megawatthours
2019-12-14,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Eastern,61096,megawatthours
2019-12-14,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Mountain,60780,megawatthours
2019-12-14,4008,ISNE - Northeast Mass.,ISNE,ISO New England,Pacific,60649,megawatthours
2019-12-14,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Arizona,254745,megawatthours
2019-12-14,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Central,254524,megawatthours
2019-12-14,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Eastern,254334,megawatthours
2019-12-14,CE,Commonwealth Edison zone - PJM,PJM,"PJM Interconnection, LLC",Mountain,254745,megawatthours
