period,respondent,respondent-name,fueltype,type-name,value,value-units,date,city,electricity_demand_mw
2019-12-31T12,PJM,"PJM Interconnection, LLC",OIL,Petroleum,223,megawatthours,2019-12-31,Chicago,223
2019-12-31T12,PJM,"PJM Interconnection, LLC",OTH,Other,651,megawatthours,2019-12-31,Chicago,651
2019-12-31T12,PJM,"PJM Interconnection, LLC",SUN,Solar,0,megawatthours,2019-12-31,Chicago,0
2019-12-31T12,PJM,"PJM Interconnection, LLC",WAT,Hydro,1955,megawatthours,2019-12-31,Chicago,1955
2019-12-31T12,PJM,"PJM Interconnection, LLC",WND,Wind,2631,megawatthours,2019-12-31,Chicago,2631
2019-12-31T11,ISNE,ISO New England,COL,Coal,2,megawatthours,2019-12-31,Boston,2
2019-12-31T11,ISNE,ISO New England,NG,Natural Gas,3036,megawatthours,2019-12-31,Boston,3036
2019-12-31T11,ISNE,ISO New England,NUC,Nuclear,3361,megawatthours,2019-12-31,Boston,3361
2019-12-31T11,ISNE,ISO New England,OIL,Petroleum,292,megawatthours,2019-12-31,Boston,292
2019-12-31T11,ISNE,ISO New England,OTH,Other,694,megawatthours,2019-12-31,Boston,694
2019-12-31T11,ISNE,ISO New England,SUN,Solar,0,megawatthours,2019-12-31,Boston,0
2019-12-31T11,ISNE,ISO New England,WAT,Hydro,739,megawatthours,2019-12-31,Boston,739
2019-12-31T11,ISNE,ISO New England,WND,Wind,610,megawatthours,2019-12-31,Boston,610
2019-12-31T11,PJM,"PJM Interconnection, LLC",COL,Coal,10441,megawatthours,2019-12-31,Chicago,10441
2019-12-31T11,PJM,"PJM Interconnection, LLC",NG,Natural Gas,30515,megawatthours,2019-12-31,Chicago,30515
2019-12-31T11,PJM,"PJM Interconnection, LLC",NUC,Nuclear,28711,megawatthours,2019-12-31,Chicago,28711
2019-12-31T11,PJM,"PJM Interconnection, LLC",OIL,Petroleum,223,megawatthours,2019-12-31,Chicago,223
