date,respondent,type-name,daily_mwh
2020-02-05,PJM,Natural Gas,883444
2020-02-05,PJM,Nuclear,705091
2020-02-05,PJM,Other,16431
2020-02-05,PJM,Petroleum,5229
2020-02-05,PJM,Solar,336
2020-02-05,PJM,Wind,31252
2020-02-06,ISNE,Coal,7606
2020-02-06,ISNE,Hydro,25601
2020-02-06,ISNE,Natural Gas,164340
2020-02-06,ISNE,Nuclear,80143
2020-02-06,ISNE,Other,12438
2020-02-06,ISNE,Petroleum,787
2020-02-06,ISNE,Solar,71
2020-02-06,ISNE,Wind,5100
2020-02-06,PJM,Coal,355654
2020-02-06,PJM,Hydro,50260
2020-02-06,PJM,Natural Gas,950455
2020-02-06,PJM,Nuclear,704517
2020-02-06,PJM,Other,24022
2020-02-06,PJM,Petroleum,5299
2020-02-06,PJM,Solar,184
2020-02-06,PJM,Wind,19141
2020-02-07,ISNE,Coal,50
2020-02-07,ISNE,Hydro,26631
2020-02-07,ISNE,Natural Gas,157312
2020-02-07,ISNE,Nuclear,80001
2020-02-07,ISNE,Other,13510
2020-02-07,ISNE,Petroleum,30
2020-02-07,ISNE,Solar,123
2020-02-07,ISNE,Wind,4020
2020-02-07,PJM,Coal,357392
2020-02-07,PJM,Hydro,54274
2020-02-07,PJM,Natural Gas,933323
2020-02-07,PJM,Nuclear,704766
2020-02-07,PJM,Other,23495
2020-02-07,PJM,Petroleum,5133
2020-02-07,PJM,Solar,1149
2020-02-07,PJM,Wind,29826
2020-02-10,ISNE,Coal,0
2020-02-10,ISNE,Hydro,23661
2020-02-10,ISNE,Natural Gas,134158
2020-02-10,ISNE,Nuclear,80181
2020-02-10,ISNE,Other,14152
2020-02-10,ISNE,Petroleum,0
2020-02-10,ISNE,Solar,127
2020-02-10,ISNE,Wind,7213
2020-02-10,PJM,Coal,362591
2020-02-10,PJM,Hydro,66342
2020-02-10,PJM,Natural Gas,931080
2020-02-10,PJM,Nuclear,679933
2020-02-10,PJM,Other,17939
2020-02-10,PJM,Petroleum,5906
2020-02-10,PJM,Solar,1284
2020-02-10,PJM,Wind,28089
2020-02-11,ISNE,Coal,0
2020-02-11,ISNE,Hydro,21572
2020-02-11,ISNE,Natural Gas,133208
2020-02-11,ISNE,Nuclear,80206
2020-02-11,ISNE,Other,15745
2020-02-11,ISNE,Petroleum,19
2020-02-11,ISNE,Solar,74
2020-02-11,ISNE,Wind,2014
2020-02-11,PJM,Coal,362873
2020-02-11,PJM,Hydro,60269
2020-02-11,PJM,Natural Gas,906856
2020-02-11,PJM,Nuclear,679112
2020-02-11,PJM,Other,16636
2020-02-11,PJM,Petroleum,5800
2020-02-11,PJM,Solar,361
2020-02-11,PJM,Wind,23415
2020-02-12,ISNE,Coal,0
2020-02-12,ISNE,Hydro,19595
2020-02-12,ISNE,Natural Gas,110443
2020-02-12,ISNE,Nuclear,80260
2020-02-12,ISNE,Other,16246
2020-02-12,ISNE,Petroleum,0
2020-02-12,ISNE,Solar,834
2020-02-12,ISNE,Wind,13070
2020-02-12,PJM,Coal,412088
2020-02-12,PJM,Hydro,58598
2020-02-12,PJM,Natural Gas,939061
2020-02-12,PJM,Nuclear,678701
2020-02-12,PJM,Other,17617
2020-02-12,PJM,Petroleum,5836
2020-02-12,PJM,Solar,1379
2020-02-12,PJM,Wind,18536
2020-02-13,ISNE,Coal,27
2020-02-13,ISNE,Hydro,20992
2020-02-13,ISNE,Natural Gas,142460
2020-02-13,ISNE,Nuclear,80263
2020-02-13,ISNE,Other,17034
2020-02-13,ISNE,Petroleum,0
2020-02-13,ISNE,Solar,68
2020-02-13,ISNE,Wind,5461
2020-02-13,PJM,Coal,471447
2020-02-13,PJM,Hydro,55724
2020-02-13,PJM,Natural Gas,898690
2020-02-13,PJM,Nuclear,676498
2020-02-13,PJM,Other,12784
2020-02-13,PJM,Petroleum,6169
2020-02-13,PJM,Solar,268
2020-02-13,PJM,Wind,47934
2020-02-14,ISNE,Coal,268
2020-02-14,ISNE,Hydro,24501
2020-02-14,ISNE,Natural Gas,135467
2020-02-14,ISNE,Nuclear,80264
2020-02-14,ISNE,Other,16186
2020-02-14,ISNE,Petroleum,630
2020-02-14,ISNE,Solar,958
2020-02-14,ISNE,Wind,14645
2020-02-14,PJM,Coal,568616
2020-02-14,PJM,Hydro,67638
2020-02-14,PJM,Natural Gas,995293
2020-02-14,PJM,Nuclear,647588
2020-02-14,PJM,Other,20664
2020-02-14,PJM,Petroleum,5214
2020-02-14,PJM,Solar,2373
2020-02-14,PJM,Wind,26792
2020-02-18,ISNE,Coal,108
2020-02-18,ISNE,Hydro,20148
2020-02-18,ISNE,Natural Gas,149652
2020-02-18,ISNE,Nuclear,80143
2020-02-18,ISNE,Other,16633
2020-02-18,ISNE,Petroleum,31
2020-02-18,ISNE,Solar,128
2020-02-18,ISNE,Wind,11864
2020-02-18,PJM,Coal,418578
2020-02-18,PJM,Hydro,55500
2020-02-18,PJM,Natural Gas,817469
2020-02-18,PJM,Nuclear,648771
2020-02-18,PJM,Other,12561
2020-02-18,PJM,Petroleum,5833
2020-02-18,PJM,Solar,1953
2020-02-18,PJM,Wind,50207
2020-02-19,ISNE,Coal,135
2020-02-19,ISNE,Hydro,18909
2020-02-19,ISNE,Natural Gas,106529
2020-02-19,ISNE,Nuclear,80159
2020-02-19,ISNE,Other,16579
2020-02-19,ISNE,Petroleum,21
2020-02-19,ISNE,Solar,1058
2020-02-19,ISNE,Wind,23206
2020-02-19,PJM,Coal,469658
2020-02-19,PJM,Hydro,52990
2020-02-19,PJM,Natural Gas,888055
2020-02-19,PJM,Nuclear,651222
2020-02-19,PJM,Other,12988
2020-02-19,PJM,Petroleum,5164
2020-02-19,PJM,Solar,1916
2020-02-19,PJM,Wind,26944
2020-02-20,ISNE,Coal,103
2020-02-20,ISNE,Hydro,22094
2020-02-20,ISNE,Natural Gas,141768
2020-02-20,ISNE,Nuclear,80170
2020-02-20,ISNE,Other,16529
2020-02-20,ISNE,Petroleum,198
2020-02-20,ISNE,Solar,903
2020-02-20,ISNE,Wind,18510
2020-02-20,PJM,Coal,549566
2020-02-20,PJM,Hydro,59250
2020-02-20,PJM,Natural Gas,990879
2020-02-20,PJM,Nuclear,644748
2020-02-20,PJM,Other,23583
2020-02-20,PJM,Petroleum,5111
2020-02-20,PJM,Solar,854
2020-02-20,PJM,Wind,19387
2020-02-21,ISNE,Coal,58
2020-02-21,ISNE,Hydro,23949
2020-02-21,ISNE,Natural Gas,145595
2020-02-21,ISNE,Nuclear,80204
2020-02-21,ISNE,Other,17142
2020-02-21,ISNE,Petroleum,110
2020-02-21,ISNE,Solar,1172
2020-02-21,ISNE,Wind,12428
2020-02-21,PJM,Coal,542809
2020-02-21,PJM,Hydro,59295
2020-02-21,PJM,Natural Gas,972338
2020-02-21,PJM,Nuclear,655678
2020-02-21,PJM,Other,28464
2020-02-21,PJM,Petroleum,5286
2020-02-21,PJM,Solar,3299
2020-02-21,PJM,Wind,35334
2020-02-24,ISNE,Coal,27
2020-02-24,ISNE,Hydro,21926
2020-02-24,ISNE,Natural Gas,107638
2020-02-24,ISNE,Nuclear,80183
2020-02-24,ISNE,Other,15453
2020-02-24,ISNE,Petroleum,222
2020-02-24,ISNE,Solar,1162
2020-02-24,ISNE,Wind,7472
2020-02-24,PJM,Coal,444466
2020-02-24,PJM,Hydro,57654
2020-02-24,PJM,Natural Gas,841235
2020-02-24,PJM,Nuclear,654901
2020-02-24,PJM,Other,13569
2020-02-24,PJM,Petroleum,5833
2020-02-24,PJM,Solar,1730
2020-02-24,PJM,Wind,22983
2020-02-25,ISNE,Coal,61
2020-02-25,ISNE,Hydro,19259
2020-02-25,ISNE,Natural Gas,131998
2020-02-25,ISNE,Nuclear,80274
2020-02-25,ISNE,Other,15147
2020-02-25,ISNE,Petroleum,1442
2020-02-25,ISNE,Solar,474
2020-02-25,ISNE,Wind,1385
2020-02-25,PJM,Coal,394634
2020-02-25,PJM,Hydro,43911
2020-02-25,PJM,Natural Gas,839858
2020-02-25,PJM,Nuclear,649572
2020-02-25,PJM,Other,13482
2020-02-25,PJM,Petroleum,5926
2020-02-25,PJM,Solar,572
2020-02-25,PJM,Wind,38229
2020-02-26,ISNE,Coal,72
2020-02-26,ISNE,Hydro,21660
2020-02-26,ISNE,Natural Gas,124662
2020-02-26,ISNE,Nuclear,80281
2020-02-26,ISNE,Other,14800
2020-02-26,ISNE,Petroleum,851
2020-02-26,ISNE,Solar,351
2020-02-26,ISNE,Wind,6284
2020-02-26,PJM,Coal,438775
2020-02-26,PJM,Hydro,43911
2020-02-26,PJM,Natural Gas,878449
2020-02-26,PJM,Nuclear,625865
2020-02-26,PJM,Other,13002
2020-02-26,PJM,Petroleum,5477
2020-02-26,PJM,Solar,711
2020-02-26,PJM,Wind,43741
2020-02-27,ISNE,Coal,43
2020-02-27,ISNE,Hydro,24417
2020-02-27,ISNE,Natural Gas,107891
2020-02-27,ISNE,Nuclear,80262
2020-02-27,ISNE,Other,15649
2020-02-27,ISNE,Petroleum,39
2020-02-27,ISNE,Solar,526
2020-02-27,ISNE,Wind,22922
2020-02-27,PJM,Coal,508218
2020-02-27,PJM,Hydro,54046
2020-02-27,PJM,Natural Gas,950517
2020-02-27,PJM,Nuclear,625786
2020-02-27,PJM,Other,13305
2020-02-27,PJM,Petroleum,5285
2020-02-27,PJM,Solar,3707
2020-02-27,PJM,Wind,52991
2020-02-28,ISNE,Coal,15
2020-02-28,ISNE,Hydro,24494
2020-02-28,ISNE,Natural Gas,123013
2020-02-28,ISNE,Nuclear,80090
2020-02-28,ISNE,Other,16271
2020-02-28,ISNE,Petroleum,24
2020-02-28,ISNE,Solar,1048
2020-02-28,ISNE,Wind,16241
2020-02-28,PJM,Coal,504970
2020-02-28,PJM,Hydro,53106
2020-02-28,PJM,Natural Gas,962393
2020-02-28,PJM,Nuclear,628688
2020-02-28,PJM,Other,14350
2020-02-28,PJM,Petroleum,5320
2020-02-28,PJM,Solar,3271
2020-02-28,PJM,Wind,41312
2020-03-02,ISNE,Coal,29
2020-03-02,ISNE,Hydro,22933
2020-03-02,ISNE,Natural Gas,133617
2020-03-02,ISNE,Nuclear,80245
2020-03-02,ISNE,Other,14948
2020-03-02,ISNE,Petroleum,25
2020-03-02,ISNE,Solar,1017
2020-03-02,ISNE,Wind,11161
2020-03-02,PJM,Coal,371241
2020-03-02,PJM,Hydro,56547
2020-03-02,PJM,Natural Gas,873438
2020-03-02,PJM,Nuclear,651588
2020-03-02,PJM,Other,17456
2020-03-02,PJM,Petroleum,5333
2020-03-02,PJM,Solar,3683
2020-03-02,PJM,Wind,39071
2020-03-03,ISNE,Coal,0
2020-03-03,ISNE,Hydro,23654
2020-03-03,ISNE,Natural Gas,116574
2020-03-03,ISNE,Nuclear,80406
2020-03-03,ISNE,Other,14681
2020-03-03,ISNE,Petroleum,48
2020-03-03,ISNE,Solar,935
2020-03-03,ISNE,Wind,7707
2020-03-03,PJM,Coal,359315
2020-03-03,PJM,Hydro,51349
2020-03-03,PJM,Natural Gas,826739
2020-03-03,PJM,Nuclear,650005
2020-03-03,PJM,Other,22768
2020-03-03,PJM,Petroleum,5292
2020-03-03,PJM,Solar,4313
2020-03-03,PJM,Wind,86313
2020-03-04,ISNE,Coal,14
2020-03-04,ISNE,Hydro,22903
2020-03-04,ISNE,Natural Gas,116935
2020-03-04,ISNE,Nuclear,80179
2020-03-04,ISNE,Other,14895
2020-03-04,ISNE,Petroleum,27
2020-03-04,ISNE,Solar,853
2020-03-04,ISNE,Wind,21393
2020-03-04,PJM,Coal,365058
2020-03-04,PJM,Hydro,54943
2020-03-04,PJM,Natural Gas,822741
2020-03-04,PJM,Nuclear,649889
2020-03-04,PJM,Other,24596
2020-03-04,PJM,Petroleum,5308
2020-03-04,PJM,Solar,9870
2020-03-04,PJM,Wind,81021
2020-03-05,ISNE,Coal,1
2020-03-05,ISNE,Hydro,24627
2020-03-05,ISNE,Natural Gas,92957
2020-03-05,ISNE,Nuclear,80163
2020-03-05,ISNE,Other,16249
2020-03-05,ISNE,Petroleum,0
2020-03-05,ISNE,Solar,1356
2020-03-05,ISNE,Wind,19793
2020-03-05,PJM,Coal,353521
2020-03-05,PJM,Hydro,53292
2020-03-05,PJM,Natural Gas,846365
2020-03-05,PJM,Nuclear,648416
2020-03-05,PJM,Other,26962
2020-03-05,PJM,Petroleum,5382
2020-03-05,PJM,Solar,6599
2020-03-05,PJM,Wind,104316
2020-03-06,ISNE,Coal,2
2020-03-06,ISNE,Hydro,25931
2020-03-06,ISNE,Natural Gas,122587
2020-03-06,ISNE,Nuclear,80438
2020-03-06,ISNE,Other,16839
