date,respondent,type-name,daily_mwh
2019-05-15,ISNE,Nuclear,71829
2019-05-15,ISNE,Other,13871
2019-05-15,ISNE,Petroleum,255
2019-05-15,ISNE,Solar,592
2019-05-15,ISNE,Wind,7825
2019-05-15,PJM,Coal,470417
2019-05-15,PJM,Hydro,52787
2019-05-15,PJM,Natural Gas,628747
2019-05-15,PJM,Nuclear,778367
2019-05-15,PJM,Other,14087
2019-05-15,PJM,Petroleum,5394
2019-05-15,PJM,Solar,10605
2019-05-15,PJM,Wind,25017
2019-05-16,ISNE,Coal,10
2019-05-16,ISNE,Hydro,32775
2019-05-16,ISNE,Natural Gas,84037
2019-05-16,ISNE,Nuclear,82516
2019-05-16,ISNE,Other,13559
2019-05-16,ISNE,Petroleum,7
2019-05-16,ISNE,Solar,737
2019-05-16,ISNE,Wind,3494
2019-05-16,PJM,Coal,449759
2019-05-16,PJM,Hydro,58528
2019-05-16,PJM,Natural Gas,637963
2019-05-16,PJM,Nuclear,776915
2019-05-16,PJM,Other,17790
2019-05-16,PJM,Petroleum,5334
2019-05-16,PJM,Solar,10057
2019-05-16,PJM,Wind,90455
2019-05-17,ISNE,Coal,11
2019-05-17,ISNE,Hydro,34407
2019-05-17,ISNE,Natural Gas,83546
2019-05-17,ISNE,Nuclear,90204
2019-05-17,ISNE,Other,14733
2019-05-17,ISNE,Petroleum,21
2019-05-17,ISNE,Solar,295
2019-05-17,ISNE,Wind,4341
2019-05-17,PJM,Coal,467334
2019-05-17,PJM,Hydro,69751
2019-05-17,PJM,Natural Gas,638645
2019-05-17,PJM,Nuclear,781651
2019-05-17,PJM,Other,19432
2019-05-17,PJM,Petroleum,5217
2019-05-17,PJM,Solar,8530
2019-05-17,PJM,Wind,64985
2019-05-18,ISNE,Coal,2
2019-05-18,ISNE,Hydro,30731
2019-05-18,ISNE,Natural Gas,60980
2019-05-18,ISNE,Nuclear,80007
2019-05-18,ISNE,Other,13795
2019-05-18,ISNE,Petroleum,0
2019-05-18,ISNE,Solar,808
2019-05-18,ISNE,Wind,8092
2019-05-18,PJM,Coal,455486
2019-05-18,PJM,Hydro,58915
2019-05-18,PJM,Natural Gas,573256
2019-05-18,PJM,Nuclear,785077
2019-05-18,PJM,Other,19344
2019-05-18,PJM,Petroleum,5168
2019-05-18,PJM,Solar,10499
2019-05-18,PJM,Wind,74500
2019-05-19,ISNE,Coal,0
2019-05-19,ISNE,Hydro,28160
2019-05-19,ISNE,Natural Gas,76078
2019-05-19,ISNE,Nuclear,80042
2019-05-19,ISNE,Other,14635
2019-05-19,ISNE,Petroleum,0
2019-05-19,ISNE,Solar,509
2019-05-19,ISNE,Wind,4184
2019-05-19,PJM,Coal,462148
2019-05-19,PJM,Hydro,57889
2019-05-19,PJM,Natural Gas,578230
2019-05-19,PJM,Nuclear,791092
2019-05-19,PJM,Other,19476
2019-05-19,PJM,Petroleum,4987
2019-05-19,PJM,Solar,10292
2019-05-19,PJM,Wind,131565
2019-05-20,ISNE,Coal,9
2019-05-20,ISNE,Hydro,34860
2019-05-20,ISNE,Natural Gas,123619
2019-05-20,ISNE,Nuclear,80194
2019-05-20,ISNE,Other,13920
2019-05-20,ISNE,Petroleum,0
2019-05-20,ISNE,Solar,475
2019-05-20,ISNE,Wind,8128
2019-05-20,PJM,Coal,513902
2019-05-20,PJM,Hydro,71638
2019-05-20,PJM,Natural Gas,735728
2019-05-20,PJM,Nuclear,795736
2019-05-20,PJM,Other,20983
